Date,Category,Amount,Notes
2025-01-03,healthcare,273.0,Dental checkup
2025-03-27,transportation,462.09,Uber
2025-05-08,subscriptions,934.35,Medium
2025-01-01,subscriptions,879.22,Medium
2025-02-13,transportation,833.09,Bus pass
2025-01-12,rent,815.81,Partial rent
2025-01-10,subscriptions,52.66,Medium
2025-05-14,healthcare,848.16,Blood test
2025-06-16,utilities,269.49,Electricity bill
2025-02-04,dining,956.47,Dinner with friends
2025-03-09,subscriptions,30.85,VPN
2025-03-16,dining,759.26,Fast food
2025-01-22,transportation,361.08,Uber
2025-02-13,entertainment,246.63,Board game
2025-02-14,dining,184.59,Fast food
2025-03-15,entertainment,169.44,Arcade
2025-03-09,rent,660.76,Advance rent
2025-03-22,rent,479.09,Monthly rent
2025-03-30,utilities,920.17,Electricity bill
2025-06-19,groceries,49.72,Local Market
2025-01-22,subscriptions,780.4,Spotify
2025-05-14,groceries,580.54,Costco
2025-03-02,transportation,117.79,Uber
2025-04-30,subscriptions,382.05,Spotify
2025-04-28,subscriptions,615.79,Medium
2025-02-22,healthcare,152.91,Eye test
2025-01-06,utilities,297.62,Internet
2025-03-08,subscriptions,533.97,Spotify
2025-04-29,transportation,260.33,Bus pass
2025-02-09,subscriptions,684.28,VPN
2025-01-04,rent,926.53,Advance rent
2025-04-18,rent,1075.75,Partial rent
2025-04-24,subscriptions,37.05,Medium
2025-03-14,dining,164.4,Coffee
2025-06-29,healthcare,257.24,Dental checkup
2025-06-19,transportation,837.04,Metro pass
2025-03-27,dining,840.78,Coffee
2025-04-28,groceries,50.27,Trader Joe’s
2025-05-20,rent,100.06,Monthly rent
2025-06-17,entertainment,272.19,Concert
2025-06-12,subscriptions,1134.56,Adobe
2025-04-20,dining,906.55,Pizza
2025-06-17,utilities,990.54,Electricity bill
2025-01-30,rent,595.12,Partial rent
2025-02-03,groceries,467.81,Local Market
2025-06-04,utilities,517.64,Gas bill
2025-04-03,dining,612.24,Fast food
2025-06-29,entertainment,721.76,Arcade
2025-03-29,groceries,514.72,Costco
2025-06-10,groceries,952.76,Local Market
2025-03-13,entertainment,212.28,Board game
2025-03-20,entertainment,384.86,Arcade
2025-03-25,dining,1076.41,Lunch out
2025-01-30,subscriptions,371.41,Medium
2025-06-12,entertainment,1138.04,Concert
2025-02-09,healthcare,569.24,Eye test
2025-03-26,subscriptions,1104.6,Adobe
2025-05-28,transportation,726.66,Metro pass
2025-01-28,rent,1150.99,Monthly rent
2025-05-01,rent,686.83,Monthly rent
2025-06-12,healthcare,880.1,Dental checkup
2025-03-17,rent,304.58,Advance rent
2025-06-10,dining,637.99,Pizza
2025-05-03,utilities,461.57,Electricity bill
2025-01-30,subscriptions,731.75,Spotify
2025-02-01,rent,371.92,Partial rent
2025-03-16,rent,251.68,Advance rent
2025-03-27,utilities,691.25,Electricity bill
2025-04-23,transportation,285.71,Uber
2025-04-18,dining,841.43,Coffee
2025-03-28,transportation,245.67,Bus pass
2025-04-30,rent,751.25,Advance rent
2025-01-14,transportation,139.84,Metro pass
2025-01-12,groceries,304.65,Local Market
2025-01-21,utilities,304.93,Internet
2025-06-08,healthcare,476.6,Eye test
2025-06-04,rent,81.08,Partial rent
2025-04-05,transportation,1129.91,Bus pass
2025-02-08,rent,519.82,Advance rent
2025-02-27,entertainment,951.54,Arcade
2025-06-11,utilities,910.14,Water bill
2025-03-15,transportation,135.29,Uber
2025-04-10,dining,356.36,Lunch out
2025-03-14,groceries,409.73,Local Market
2025-06-14,transportation,667.25,Bus pass
2025-04-03,healthcare,321.64,Dental checkup
2025-05-01,rent,723.59,Advance rent
2025-03-23,rent,1068.39,Monthly rent
2025-01-25,rent,1028.83,Monthly rent
2025-05-18,subscriptions,486.63,YouTube
2025-01-28,subscriptions,433.33,Medium
2025-02-15,transportation,638.42,Bus pass
2025-06-25,groceries,510.29,Costco
2025-04-01,groceries,161.21,Walmart
2025-06-16,transportation,595.9,Fuel
2025-05-24,dining,970.43,Coffee
2025-03-29,healthcare,292.02,Blood test
2025-06-19,subscriptions,1120.24,YouTube
2025-02-18,transportation,281.84,Fuel
2025-01-23,groceries,1103.92,Local Market
2025-05-29,rent,546.35,Advance rent
2025-03-05,utilities,972.13,Water bill
2025-03-14,subscriptions,121.61,VPN
2025-06-11,subscriptions,612.91,Spotify
2025-06-10,transportation,605.5,Metro pass
2025-06-02,transportation,780.21,Metro pass
2025-06-10,groceries,504.91,Costco
2025-02-21,groceries,582.48,Costco
2025-06-12,entertainment,852.89,Netflix
2025-03-08,healthcare,600.77,Blood test
2025-01-22,utilities,495.31,Water bill
2025-02-06,dining,68.16,Coffee
2025-02-16,rent,522.45,Monthly rent
2025-02-20,utilities,244.83,Internet
2025-04-01,groceries,342.27,Local Market
2025-06-07,subscriptions,1166.58,YouTube
2025-03-06,groceries,922.49,Walmart
2025-04-20,utilities,391.4,Water bill
2025-03-31,healthcare,876.1,Blood test
2025-01-01,transportation,309.07,Metro pass
2025-01-12,healthcare,1000.0,Pharmacy
2025-02-20,subscriptions,818.91,YouTube
2025-01-23,transportation,377.53,Metro pass
2025-05-10,groceries,765.14,Local Market
2025-06-09,groceries,25.44,Trader Joe’s
2025-05-17,rent,369.96,Partial rent
2025-05-17,rent,144.7,Monthly rent
2025-01-20,utilities,839.1,Electricity bill
2025-06-18,transportation,68.95,Uber
2025-01-20,transportation,52.42,Fuel
2025-02-08,entertainment,447.77,Concert
2025-03-26,groceries,1052.2,Trader Joe’s
2025-06-14,dining,705.56,Lunch out
